ind_rr,ind_pulse,ind_rhythm,ind_spo2,ind_gcs,ind_time_to_hems,beta_intercept,beta_time_to_hems,beta_time_to_hems_p3,beta_gcs,beta_age,beta_age_p2,beta_age_p3,beta_medical_facility,beta_code_stroke,beta_code_cardiac_arr,beta_code_respitory,beta_code_other,beta_code_neurological,beta_code_psyc_intox,beta_code_chest_pain,beta_code_trauma,beta_pulse_p3,beta_cardiac_rhythm,beta_rr,beta_rr_p3,beta_sex_male,beta_spo2_p3,beta_vehicle_ground_unit,beta_pulse,beta_spo2,beta_gcs_p2,beta_gcs_p3,beta_time_to_hems_p2,beta_pulse_p2,beta_spo2_p2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.492437586478775,0.008663469225674627,-3.47833658434856e-7,-0.2535410889023816,-0.008786249698063926,3.8171493927600643e-4,3.0732628776539725e-7,0.11214781815962595,0.6131938547323272,0.4753596703532166,0.21686023034984098,-0.21702124273539514,-0.5817189382488095,-2.4566066646157503,-0.02064411733907247,0.27444054933957823,-1.641645632696346e-7,1.7109041417428519,-0.019704371221900902,2.7114953674295923e-7,-0.048868220834443525,-1.4640652935836858e-6,-0.07105790555257867,0,0,0,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.2475484496172957,0.005609994835164537,0,-0.25736302641420783,-0.013803679047133102,4.739290552150796e-4,-2.612930257483958e-7,0.12092811888558982,0.4561486125442727,0.3462032258330782,0,-0.2484566980908703,-0.7438655380612892,-2.539844528557174,0,0.12121278366338423,-1.3254327873380926e-7,1.760570439958228,0,0,-0.0653739214614375,-1.6299663576600332e-6,-0.07695791660082012,-0.001577353106623635,0,0,0,0,0,0
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.2499852308315407,0.005144877939039851,0,-0.2553092497984067,-0.00449922569698906,3.2870106189627227e-4,5.789683758635703e-7,0.10937439970914427,0.6632076577181689,0.5117247849024068,0.20852059267848883,-0.21959647550625042,-0.5585963564163622,-2.384373169824738,-0.028806160151817205,0.3349182831455749,0,1.5950413228457527,-0.019972763145180487,2.705477019781198e-7,-0.05747906305762718,-1.3779999341730814e-6,-0.08701782348976482,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7468795704231613,0.005628255552098746,0,-0.25871770671427496,-0.008780254401638021,4.0024384831366324e-4,1.6384278377654085e-7,0.1239291892861045,0.5076942962190112,0.3915338224225718,0,-0.2305561536581851,-0.7163575687542405,-2.4524872438539975,0,0.19248891538783625,0,1.6626770904283403,0,0,-0.07395580962325439,-1.542336938709721e-6,-0.08374878713583542,0,0,0,0,0,0,0
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.6875789342894805,0.0019951528355888603,0,-0.2794108761379721,-0.001286402582101155,2.2620447622170726e-4,0,0.007769742120559826,0.6365543027739707,1.4671124890030272,0.3314758968932678,-0.1109085080790488,-0.6308472006634174,-2.5777036487583374,0.27097810595545874,0.40668817309518934,-3.096537500036511e-8,0,-0.02186839136750435,2.8476748452270833e-7,-0.02414040241483691,-3.89927834364695e-6,-0.0450385314037671,-0.002778012745165923,0.04867582237055212,0,0,0,0,0
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.7894437710213372,0.0024540064910958123,0,-0.38723149824930664,-0.007870342708996681,3.315008859329848e-4,5.651637821269165e-7,0.04143506494947693,0.5218154392393282,1.3917672410488673,0.1643558374783308,-0.08325882987166136,-0.7523189191900874,-2.612954711059152,0.22376571478893553,0.2836064966490289,0,0,0,0,-0.04169753230617267,-4.329734094845759e-6,-0.03801638303782456,-0.004551843244829809,0.053602720273115606,0.005971226093587001,0,0,0,0
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.4021826550646211,0.0021045953220225296,0,-0.2791761669103412,0.0012244045993867248,1.972778141441713e-4,1.3115682952564154e-6,0,0.6785920027633385,1.4651985862139643,0.3230628383435287,-0.0871627017027102,-0.60740690140410325,-2.517068042558104,0.30015350100657395,0.45044048539373505,0,0,-0.022222570087890494,2.8626937296172675e-7,-0.02905668649093586,-3.7287555008320325e-06,-0.049819619157737784,0,0.04639795343670042,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-1.2303500457911218,0.002608949846971394,0,-0.3908990602502382,-0.005166879663007136,2.985911728925327e-4,7.607354876608111e-7,0.04698979148991829,0.5639457654546133,1.391823915376662,0.14525877874735119,-0.04653041524974702,-0.73099720264828,-2.5420401599861386,0.271457095618004,0.331417755912475,0,0,0,0,-0.04679327094230197,-4.139692718102301e-6,-0.04343156502838095,0,0.05096617631348358,0.006196226294257398,0,0,0,0
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.5388120512374435,0.007959542609666494,-3.1645966337088567e-7,-0.26244993710429576,-0.006162566673220492,3.6351800579707263e-4,3.488186604487593e-7,0.10348863906421266,0.5045538457965568,0.3826348166886055,0.5041952266283606,-0.2832652107680451,-0.65255758965118,-2.490650542724382,-0.08123274309830875,0.18975385441642398,-1.4356307726556946e-7,1.7466030145135558,-0.02198637566152485,2.9458809143493284e-7,-0.024532138740084194,0,-0.06785857520628133,0,0,0,0,0,0,0
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.16576171592846176,0.008922974973002809,-3.648247325613002e-7,-0.26727544819846494,-0.01138384755844656,4.5287650796914787e-4,-1.7676436598466003e-7,0.11296040692743346,0.29684741965885253,0.22875380570626877,0.33581767414101016,-0.31489988157842724,-0.8490019014936366,-2.583035003492715,-0.1271842586743269,0,-1.2309887236911895e-7,1.8283015623751864,0,0,-0.037920514935511955,0,-0.06276943805263181,-0.0011398991298632824,0,0,0,0,0,0
